"","Player","Salary","Guaranteed","Pos","Age","G","GS","MP","PTS","AST","FG","FGA","ORB","DRB","TRB","STL","BLK","TOV"
"1","Aaron Gordon",16409091,80207637,"PF",25,50,50,27.7,12.4,3.2,4.6,10,1.5,4.1,5.7,0.7,0.7,1.9
"2","Aaron Holiday",3980551,3980551,"PG",24,66,8,17.8,7.2,1.9,2.6,6.6,0.2,1.1,1.3,0.7,0.2,1
"3","Aaron Nesmith",3631200,7435560,"SF",21,46,1,14.5,4.7,0.5,1.7,3.9,0.6,2.2,2.8,0.3,0.2,0.5
"4","Abdel Nader",2e+06,2e+06,"SF",27,24,0,14.8,6.7,0.8,2.4,4.8,0.3,2.3,2.6,0.4,0.4,0.8
"5","Al Horford",2.7e+07,41500000,"C",34,28,28,27.9,14.2,3.4,5.8,12.9,1,5.7,6.7,0.9,0.9,1
"6","Alec Burks",9536000,19548800,"SG",29,49,5,25.6,12.7,2.2,4.3,10.2,0.4,4.2,4.6,0.6,0.3,1
"7","Aleksej Pokusevski",3113160,6374640,"PF",19,45,28,24.2,8.2,2.2,3.1,9.1,0.7,4,4.7,0.4,0.9,2.2
"8","Alex Caruso",8604651,3.7e+07,"PG",26,58,6,21,6.4,2.8,2.3,5.3,0.5,2.4,2.9,1.1,0.3,1.3
"9","Alex Len",3731707,7650000,"C",27,64,42,15.3,6.6,0.8,2.7,4.3,1.2,2.8,4.1,0.3,1,0.9
"10","Alfonzo McKinnie",1090007,1292183,"SF",28,39,0,6.6,3.1,0.2,1.2,2.4,0.6,0.8,1.4,0.2,0,0.1
"11","Alize Johnson",705598,705598,"PF",24,18,0,10.5,5.2,0.8,2.2,3.8,1.5,3.5,5,0.3,0.3,0.5
"12","Andre Drummond",2401537,2401537,"C",27,46,46,27,14.9,2,6.1,12.4,3.6,8.4,12,1.4,1.1,2.7
"13","Andre Iguodala",2641691,2641691,"SF",37,63,5,21.3,4.4,2.3,1.5,3.9,0.6,2.9,3.5,0.9,0.6,1.1
"14","Anfernee Simons",3938818,3938818,"SG",21,64,0,17.3,7.8,1.4,2.6,6.3,0.2,2,2.2,0.3,0.1,0.7
"15","Anthony Davis",35361360,113942160,"PF",27,36,36,32.3,21.8,3.1,8.4,17,1.7,6.2,7.9,1.3,1.6,2.1
"16","Anthony Edwards",10245480,20978880,"SG",19,72,55,32.1,19.3,2.9,7,16.8,0.8,3.8,4.7,1.1,0.5,2.2
"17","Anthony Gill",1517981,NA,"PF",28,26,4,8.4,3.1,0.4,1.2,2.3,0.6,1.3,2,0.4,0.2,0.3
"18","Armoni Brooks",1625991,1489065,"SG",22,20,5,26,11.2,1.5,3.9,9.6,0.5,2.9,3.4,0.6,0.3,1.1
"19","Austin Rivers",2401537,2401537,"SG",28,36,7,23.5,7.9,2.3,2.9,6.8,0.2,2.1,2.3,0.8,0.1,1
"20","Avery Bradley",2641691,NA,"SG",30,27,6,22.3,6.4,1.7,2.4,6.3,0.3,1.8,2.1,0.8,0.1,1
"21","Bam Adebayo",28103550,163000590,"C",23,64,64,33.5,18.7,5.4,7.1,12.5,2.2,6.7,9,1.2,1,2.6
"22","Ben McLemore",2389641,2389641,"SG",27,53,5,17.1,7.7,0.7,2.5,6.9,0.3,1.6,1.9,0.4,0.2,0.8
"23","Ben Simmons",31590000,140400000,"PG",24,58,58,32.4,14.3,6.9,5.6,10.1,1.6,5.6,7.2,1.6,0.6,3
"24","Bismack Biyombo",1366392,1518213,"C",28,66,36,20.4,5,1.2,2.2,3.7,2.1,3.2,5.3,0.3,1.1,1.1
"25","Blake Griffin",32405817,29764126,"PF",31,46,30,25.8,11,3,3.8,8.9,0.8,4.1,4.9,0.7,0.3,1.3
"26","Blake Griffin",32405817,2641691,"PF",31,46,30,25.8,11,3,3.8,8.9,0.8,4.1,4.9,0.7,0.3,1.3
"27","Bobby Portis",4347600,4347600,"C",25,66,7,20.8,11.4,1.1,4.7,9.1,1.9,5.2,7.1,0.8,0.4,0.8
"28","Bol Bol",2161152,2161152,"PF",21,32,2,5,2.2,0.2,0.8,1.8,0,0.8,0.8,0.1,0.3,0.4
"29","Bradley Beal",34502130,34502130,"SG",27,60,60,35.8,31.3,4.4,11.2,23,1.2,3.5,4.7,1.2,0.4,3.1
"30","Brandon Clarke",2726880,7070800,"PF",24,59,16,24,10.3,1.6,4.3,8.4,1.6,3.9,5.6,1,0.9,0.6
"31","Brandon Ingram",29467800,130968000,"SF",23,61,61,34.3,23.8,4.9,8.4,18,0.6,4.3,4.9,0.7,0.6,2.5
"32","Brook Lopez",13302325,27209301,"C",32,70,70,27.2,12.3,0.7,4.6,9.1,1.5,3.5,5,0.6,1.5,0.9
"33","Bruce Brown",4736102,4736102,"PG",24,65,37,22.3,8.8,1.6,3.6,6.5,1.7,3.7,5.4,0.9,0.4,0.8
"34","Bruno Fernando",1782621,1782621,"C",22,33,0,6.8,1.5,0.3,0.5,1.3,0.5,1.9,2.4,0.1,0.1,0.6
"35","Buddy Hield",22477273,61568182,"SG",28,71,71,34.3,16.6,3.6,5.7,14,0.4,4.3,4.7,0.9,0.4,1.8
"36","Caleb Martin",527614,527614,"SF",25,53,3,15.4,5,1.3,1.8,4.8,0.6,2.1,2.7,0.7,0.2,0.6
"37","Cam Reddish",4670160,10624614,"SF",21,26,21,28.8,11.2,1.3,3.7,10.1,0.8,3.2,4,1.3,0.3,1.3
"38","Cameron Johnson",4437000,10324899,"PF",24,60,11,24,9.6,1.4,3.4,8.1,0.6,2.8,3.3,0.6,0.3,0.7
"39","Cameron Payne",6500000,14500000,"PG",26,60,1,18,8.4,3.6,3.2,6.6,0.3,2.1,2.4,0.6,0.3,1
"40","Caris LeVert",17500000,36296296,"SG",26,47,39,31.6,20.2,5.2,7.6,17.3,0.7,3.9,4.6,1.4,0.6,2.2
"41","Carmelo Anthony",2641691,2641691,"PF",36,69,3,24.5,13.4,1.5,4.7,11.3,0.5,2.6,3.1,0.7,0.6,0.9
"42","Carsen Edwards",76744,1782621,"SG",22,31,1,8.9,4,0.5,1.5,3.6,0.1,0.7,0.8,0.2,0,0.2
"43","Cedi Osman",8050000,15400000,"SF",25,59,26,25.6,10.4,2.9,3.7,9.9,0.6,2.8,3.4,0.9,0.2,1.4
"44","Chimezie Metu",1762796,NA,"C",23,36,6,13.6,6.3,0.8,2.5,5,0.9,2.3,3.1,0.4,0.5,0.8
"45","Chris Boucher",7009615,7009615,"C",28,60,14,24.2,13.6,1.1,4.8,9.3,2,4.8,6.7,0.6,1.9,0.8
"46","Chris Paul",30800000,7.5e+07,"PG",35,70,70,31.4,16.4,8.9,6.3,12.6,0.4,4.1,4.5,1.4,0.3,2.2
"47","Chuma Okeke",3277080,6710400,"PF",22,45,19,25.2,7.8,2.2,3,7.2,0.9,3.1,4,1.1,0.5,0.8
"48","CJ Elleby",1517981,1517981,"SF",20,30,0,6.4,2.3,0.3,0.8,2.2,0.4,0.7,1.1,0.2,0.1,0.2
"49","CJ McCollum",30864198,1e+08,"SG",29,47,47,34,23.1,4.7,8.6,18.8,0.6,3.3,3.9,0.9,0.4,1.4
"50","Clint Capela",17103448,78191625,"C",26,63,63,30.1,15.2,0.8,6.6,11,4.7,9.6,14.3,0.7,2,1.2
"51","Cody Martin",1782621,1782621,"SF",25,52,10,16.3,4,1.7,1.6,3.6,1,2.1,3.1,0.7,0.2,0.8
"52","Cole Anthony",3449400,7063080,"PG",20,47,34,27.1,12.9,4.1,4.7,11.7,0.8,3.9,4.7,0.6,0.4,2.3
"53","Collin Sexton",6349671,6349671,"SG",22,60,60,35.3,24.3,4.4,8.8,18.4,1,2.2,3.1,1,0.2,2.8
"54","Cory Joseph",7310000,7310000,"PG",29,63,13,23,8.2,3.4,3.2,6.8,0.6,2,2.5,1,0.3,1.3
"55","Cory Joseph",7310000,7310000,"PG",29,63,13,23,8.2,3.4,3.2,6.8,0.6,2,2.5,1,0.3,1.3
"56","D'Angelo Russell",30013500,61391250,"PG",24,42,26,28.5,19,5.8,6.7,15.5,0.4,2.3,2.6,1.1,0.4,2.7
"57","D.J. Augustin",7622467,622467,"PG",33,57,12,19.8,7.7,3.3,2.4,6,0.4,1.3,1.6,0.5,0,1.1
"58","D.J. Augustin",7622467,7333333,"PG",33,57,12,19.8,7.7,3.3,2.4,6,0.4,1.3,1.6,0.5,0,1.1
"59","Damian Jones",1977011,NA,"C",25,39,10,14,4.7,0.7,1.8,2.6,0.9,2.2,3.1,0.3,0.7,0.7
"60","Damian Lillard",39344900,176265152,"PG",30,67,67,35.8,28.8,7.5,9,19.9,0.5,3.7,4.2,0.9,0.3,3
"61","Damion Lee",1910860,NA,"SG",28,57,1,18.9,6.5,1.3,2.2,4.8,0.4,2.8,3.2,0.7,0.1,0.5
"62","Daniel Gafford",1782621,43895782,"PF-C",22,54,11,14.6,7,0.5,2.9,4.2,1.7,2.5,4.3,0.5,1.4,0.8
"63","Daniel Theis",8372093,3.6e+07,"C",28,65,51,24.6,9.6,1.7,3.9,7.2,1.4,4,5.5,0.6,0.9,1
"64","Danilo Gallinari",20475000,25475000,"PF",32,51,4,24,13.3,1.5,4,9.3,0.3,3.8,4.1,0.6,0.2,0.8
"65","Danny Green",1e+07,1e+07,"SF",33,69,69,28,9.5,1.7,3.2,7.9,0.8,3,3.8,1.3,0.8,1
"66","Danuel House Jr.",2045094,991967,"SF",27,36,23,25.9,8.8,1.9,3.1,7.6,0.5,3.2,3.7,0.6,0.4,1
"67","Danuel House Jr.",2045094,1387498,"SF",27,36,23,25.9,8.8,1.9,3.1,7.6,0.5,3.2,3.7,0.6,0.4,1
"68","Darius Bazley",2513040,6777669,"PF",20,55,55,31.2,13.7,1.8,5,12.5,0.9,6.3,7.2,0.5,0.5,2.2
"69","Darius Garland",7040880,15961675,"PG",21,54,50,33.1,17.4,6.1,6.7,14.9,0.4,2,2.4,1.2,0.1,3
"70","David Nwaba",4650000,9672000,"SF",28,30,9,22.6,9.2,1,3.5,7.3,1.3,2.6,3.9,1,0.7,0.6
"71","De'Aaron Fox",28103550,163000590,"PG",23,58,58,35.1,25.2,7.2,9.1,19.1,0.6,2.9,3.5,1.5,0.5,3
"72","De'Andre Hunter",7775400,17611281,"SF",23,23,19,29.5,15,1.9,5.2,10.8,0.7,4,4.8,0.8,0.5,1.3
"73","De'Anthony Melton",8437500,27187500,"PG",22,52,1,20.1,9.1,2.5,3.3,7.6,0.6,2.5,3.1,1.2,0.6,1.3
"74","DeAndre' Bembry",2541217,1939350,"SF",26,51,12,19.1,5.7,2.1,2.3,4.5,0.6,2.2,2.9,1,0.4,1.4
"75","DeAndre' Bembry",2541217,601867,"SF",26,51,12,19.1,5.7,2.1,2.3,4.5,0.6,2.2,2.9,1,0.4,1.4
"76","Deandre Ayton",12632950,12632950,"C",22,69,69,30.7,14.4,1.4,6.2,10,3.3,7.2,10.5,0.6,1.2,1.5
"77","DeAndre Jordan",11109327,592103,"C",32,57,43,21.9,7.5,1.6,3.3,4.4,2.1,5.4,7.5,0.3,1.1,1.5
"78","DeAndre Jordan",11109327,15703440,"C",32,57,43,21.9,7.5,1.6,3.3,4.4,2.1,5.4,7.5,0.3,1.1,1.5
"79","DeAndre Jordan",11109327,2641691,"C",32,57,43,21.9,7.5,1.6,3.3,4.4,2.1,5.4,7.5,0.3,1.1,1.5
"80","Dejounte Murray",15428571,49714286,"PG",24,67,67,31.9,15.7,5.4,6.6,14.5,0.9,6.2,7.1,1.5,0.1,1.7
"81","DeMar DeRozan",2.6e+07,81900000,"PF",31,61,61,33.7,21.6,6.9,7.5,15.1,0.7,3.6,4.2,0.9,0.2,2
"82","DeMarcus Cousins",1290481,607285,"C",30,41,11,17.4,8.9,1.9,3.2,7.4,1.3,5.1,6.4,0.8,0.6,1.6
"83","DeMarcus Cousins",1290481,1138659,"C",30,41,11,17.4,8.9,1.9,3.2,7.4,1.3,5.1,6.4,0.8,0.6,1.6
"84","Deni Avdija",4692840,9609000,"SF",20,54,32,23.3,6.3,1.2,2.4,5.8,0.4,4.4,4.9,0.6,0.3,0.6
"85","Dennis Smith Jr.",1789256,1789256,"PG",23,23,9,18.3,6.7,3.3,2.5,6.3,0.5,1.9,2.4,1,0.6,1.1
"86","Derrick Favors",9720900,9720900,"C",29,68,0,15.3,5.4,0.6,2.3,3.6,2,3.5,5.5,0.5,1,0.5
"87","Derrick Jones Jr.",9720900,9720900,"SF",23,58,43,22.7,6.8,0.8,2.5,5.2,1.3,2.2,3.5,0.6,0.9,0.6
"88","Derrick Rose",13445120,27965850,"PG",32,50,3,25.6,14.7,4.2,5.7,12.2,0.4,2.2,2.6,1,0.4,1.6
"89","Desmond Bane",2033160,4163400,"SG",22,68,17,22.3,9.2,1.7,3.4,7.3,0.5,2.6,3.1,0.6,0.2,0.9
"90","Devin Booker",31610000,101370000,"SG",24,67,67,33.9,25.6,4.3,9.3,19.2,0.5,3.7,4.2,0.8,0.2,3.1
"91","Devontae Cacok",364533,364533,"PF",24,20,1,4.9,2,0.1,0.9,1.5,0.6,1,1.6,0.3,0.2,0.3
"92","Devonte' Graham",1.1e+07,37500000,"PG",25,55,44,30.2,14.8,5.4,4.6,12.2,0.4,2.3,2.7,0.9,0.1,1.5
"93","Dewayne Dedmon",5256308,2389641,"C",31,16,0,13.1,7.1,0.8,2.9,4.1,1.8,3.6,5.4,0.6,0.4,0.8
"94","Dewayne Dedmon",5256308,11466668,"C",31,16,0,13.1,7.1,0.8,2.9,4.1,1.8,3.6,5.4,0.6,0.4,0.8
"95","Didi Louzada",1786878,3663100,"SF",21,3,0,18.7,2.7,1,1,4.3,0.3,0.7,1,0.7,0,1
"96","Dillon Brooks",12200000,23600000,"SF",25,67,67,29.8,17.2,2.3,6.4,15.4,0.8,2.1,2.9,1.2,0.4,1.8
"97","Domantas Sabonis",18562500,59812500,"PF",24,62,62,36,20.3,6.7,7.8,14.6,2.4,9.5,12,1.2,0.5,3.4
"98","Donovan Mitchell",28103550,125903904,"PG",24,53,53,33.4,26.4,5.2,9,20.6,0.9,3.5,4.4,1,0.3,2.8
"99","Donte DiVincenzo",4675830,4675830,"SG",24,66,66,27.5,10.4,3.1,3.8,9.1,1.2,4.5,5.8,1.1,0.2,1.4
"100","Dorian Finney-Smith",4e+06,44182480,"PF",27,60,60,32,9.8,1.7,3.7,7.8,1.6,3.8,5.4,0.9,0.4,0.8
"101","Doug McDermott",13750000,41250000,"PF",29,66,29,24.5,13.6,1.3,5.4,10.1,0.9,2.4,3.3,0.3,0.1,0.8
"102","Draymond Green",24026712,49833181,"PF",30,63,63,31.5,7,8.9,2.7,6,0.9,6.3,7.1,1.7,0.8,3
"103","Drew Eubanks",1762796,1762796,"C",23,54,3,14,5.8,0.8,2.1,3.8,1.4,3.1,4.5,0.3,0.9,0.8
"104","Duncan Robinson",15560000,79910000,"SF",26,72,72,31.4,13.1,1.8,4.4,10,0.1,3.4,3.5,0.6,0.3,1.1
"105","Dwight Howard",2641691,2641691,"C",35,69,6,17.3,7,0.9,2.6,4.4,2.8,5.7,8.4,0.4,0.9,1.6
"106","Dwight Powell",1.1e+07,22814815,"C",29,58,19,16.7,5.9,1.1,2.1,3.3,1.4,2.7,4,0.6,0.5,0.7
"107","E'Twaun Moore",2641691,2641691,"SG",31,27,1,14.4,4.9,1.5,2,4.5,0.5,1.1,1.7,0.6,0.2,0.9
"108","Ed Davis",2641691,NA,"C",31,23,7,13,2.1,0.9,0.8,1.9,2,3,5,0.6,0.6,0.3
"109","Elfrid Payton",2239544,2239544,"PG",26,63,63,23.6,10.1,3.2,4.3,9.9,1,2.4,3.4,0.7,0.1,1.6
"110","Elijah Hughes",1517981,1517981,"SF",22,18,0,3.6,1.7,0.3,0.6,1.7,0.1,0.4,0.5,0.1,0.1,0.3
"111","Enes Freedom",2641691,2641691,"C",28,72,35,24.4,11.2,1.2,4.7,7.8,3.9,7.1,11,0.5,0.7,1.1
"112","Eric Bledsoe",18125000,22025000,"SG",31,71,70,29.7,12.2,3.8,4.3,10.3,0.4,3,3.4,0.8,0.3,1.6
