"","Player","...1","Tm.x","season17_18","Rk","Player.x","Pos","Age","Tm.y","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT.x","FTA","FT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","GS.y","MP.y","FG.y","FGA.y","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT.y","FTA.y","FT%","ORB.y","DRB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS.y"
"1","A.J. Hammons","411","MIA",1312611,171,"A.J. Hammons\hammoaj01","C",24,"DAL",22,0,7.4,0.8,1.9,0.405,0.2,0.5,0.5,0.5,1.5,0.375,0.464,0.4,0.9,0.45,0.4,1.3,1.6,0.2,0,0.6,0.5,1,2.2,"C",24,"DAL",22,0,"44658","0.8","44805",".405","0.2","0.5",".500","0.5","44682",".375",".464","0.4","0.9",".450","0.4","44621","44713","0.2","0.0","0.6","0.5","1.0","44594"
"2","Aaron Brooks","319","MIN",2116955,58,"Aaron Brooks\brookaa01","PG",32,"IND",65,0,13.8,1.9,4.6,0.403,0.7,2,0.375,1.1,2.6,0.424,0.483,0.5,0.6,0.8,0.3,0.8,1.1,1.9,0.4,0.1,1,1.4,5,"PG",32,"IND",65,0,"44786","44805","44716",".403","0.7","2.0",".375","44562","44714",".424",".483","0.5","0.6",".800","0.3","0.8","44562","44805","0.4","0.1","1.0","44652","5.0"
"3","Aaron Gordon","190","ORL",5504420,158,"Aaron Gordon\gordoaa01","SF",21,"ORL",80,72,28.7,4.9,10.8,0.454,1,3.3,0.288,4,7.5,0.528,0.499,2,2.7,0.719,1.5,3.6,5.1,1.9,0.8,0.5,1.1,2.2,12.7,"SF",21,"ORL",80,72,"44770","44808","44783",".454","1.0","44623",".288","4.0","44688",".528",".499","2.0","44744",".719","44682","44715","44566","44805","0.8","0.5","44562","44594","44754"
"4","Al-Farouq Aminu","154","POR",7319035,10,"Al-Farouq Aminu\aminual01","PF",26,"POR",61,25,29.1,3,7.6,0.393,1.1,3.5,0.33,1.9,4.2,0.445,0.468,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1,0.7,1.5,1.7,8.7,"PF",26,"POR",61,25,"44590","3.0","44719",".393","44562","44684",".330","44805","44596",".445",".468","44713","44594",".706","44621","44567","44658","44713","1.0","0.7","44682","44743","44750"
"5","Al Horford","11","BOS",27734405,204,"Al Horford\horfoal01","C",30,"BOS",68,68,32.3,5.6,11.8,0.473,1.3,3.6,0.355,4.3,8.2,0.524,0.527,1.6,2,0.8,1.4,5.4,6.8,5,0.8,1.3,1.7,2,14,"C",30,"BOS",68,68,"32.3","44717","44784",".473","44621","44715",".355","44624","44600",".524",".527","44713","2.0",".800","44652","44656","44779","5.0","0.8","44621","44743","2.0","14.0"
"6","Al Jefferson","128","IND",9769821,222,"Al Jefferson\jeffeal01","C",32,"IND",66,1,14.1,3.6,7.1,0.499,0,0,0,3.6,7.1,0.5,0.499,1,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1,"C",32,"IND",66,1,"44575","44715","44568",".499","0.0","0.0",".000","44715","44568",".500",".499","1.0","44621",".765","44562","44564","44596","0.9","0.3","0.2","0.5","44805","44569"
"7","Alan Williams","178","PHO",6e+06,464,"Alan Williams\willial03","C",24,"PHO",47,0,15.1,2.9,5.7,0.517,0,0,0,2.9,5.7,0.519,0.517,1.5,2.4,0.625,2,4.2,6.2,0.5,0.6,0.7,0.8,2.7,7.4,"C",24,"PHO",47,0,"44576","44806","44747",".517","0.0","0.0",".000","44806","44747",".519",".517","44682","44653",".625","2.0","44596","44598","0.5","0.6","0.7","0.8","44744","44658"
"8","Alec Burks","113","UTA",10845506,65,"Alec Burks\burksal01","SG",25,"UTA",42,0,15.5,2.4,5.9,0.399,0.6,1.8,0.329,1.8,4.1,0.43,0.45,1.4,1.9,0.769,0.4,2.5,2.9,0.7,0.4,0.1,0.8,1.2,6.7,"SG",25,"UTA",42,0,"44696","44653","44809",".399","0.6","44774",".329","44774","44565",".430",".450","44652","44805",".769","0.4","44683","44806","0.7","0.4","0.1","0.8","44593","44748"
"9","Alex Len","219","PHO",4187599,260,"Alex Len\lenal01","C",23,"PHO",77,34,20.3,3,6,0.497,0,0.2,0.25,2.9,5.9,0.503,0.5,1.9,2.7,0.721,2,4.6,6.6,0.6,0.5,1.3,1.3,3.1,8,"C",23,"PHO",77,34,"44640","3.0","6.0",".497","0.0","0.2",".250","44806","44809",".503",".500","44805","44744",".721","2.0","44716","44718","0.6","0.5","44621","44621","44564","8.0"
"10","Alex Poythress","480","IND",778668,366,"Alex Poythress\poythal01","PF",23,"PHI",6,1,26.2,4.2,9,0.463,1,3.2,0.316,3.2,5.8,0.543,0.519,1.3,1.7,0.8,1.8,3,4.8,0.8,0.5,0.3,0.5,2.3,10.7,"PF",23,"PHI",6,1,"44618","44596","9.0",".463","1.0","44595",".316","44595","44778",".543",".519","44621","44743",".800","44774","3.0","44777","0.8","0.5","0.3","0.5","44622","44752"
